Marca,Modelo,Titulo,category,listPrice,sku
,,Geladeira/Refrigerador Electrolux 2 Portas Cycle Defrost DC35A 260 Litros Branco,Geladeira/Refrigerador,,607078700
,,Geladeira-Refrigerador Electrolux 323 Litros RFE39 Frost Free 1 Porta-110V,Geladeira/Refrigerador,,644007600
,,Geladeira/Refrigerador Electrolux Frost Free 2 Portas DF53 427 Litros Branco,Geladeira/Refrigerador,,683074400
,,Refrigerador Esmaltec 110V 1 Porta - Branco,Geladeira/Refrigerador,,604275300
,,Refrigerador Brastemp Duplex Frost Free Branco 500L BRM58AB - 127V,Geladeira/Refrigerador,,633529600
,,Refrigerador Consul Duplex Bem Estar  Frost Free Evox Platinum 405L 220V CRM51AKBNA,Geladeira/Refrigerador,,693696900
,,Refrigerador Consul 2 Portas 450 litros Branco Cycle Defrost 127v,Geladeira/Refrigerador,,616022600
,,Refrigerador Consul Facilite 1 Porta 342 Litros Branco Frost Free 127v,Geladeira/Refrigerador,,602579200
Brastemp,BRE59AE,Geladeira/Refrigerador Brastemp Frost Free Inverse - 460L BRE59AE Preto,Geladeira/Refrigerador Frost Free,,218179900
Samsung,Twin Cooling Plus RT5000K,Geladeira/Refrigerador Samsung Frost Free Inox - Duplex 384L Twin Cooling Plus RT5000K,Geladeira/ Refrigerador Inox,,216506000
Panasonic,NR-BT49PV2WA,Geladeira/Refrigerador Panasonic Frost Free Duplex - 435L re Generation NR-BT49PV2WA Branco,Geladeira/Refrigerador Frost Free,,212875900
Samsung,RT46H5351SL/AZ,Geladeira/Refrigerador Samsung Frost Free Inox - Duplex 458L RT46H5351SL/AZ,Geladeira/ Refrigerador Inox,,212467400
Philco,PH85,Frigobar Philco 70L Branco - PH85,Frigobar,,201094600
Electrolux,DC51,Geladeira/Refrigerador Electrolux Cycle Defrost - Duplex 475L DC51 Branco,Geladeira/Refrigerador,,201087900
Brastemp,BZA12AF,Frigobar Brastemp 120L Preta e Branca - com Porta de Vidro BZA12AF,Frigobar,,200197900
Midea,MRC10B1,Frigobar Midea 93L Branco  - MRC10B1,Frigobar,,219025500
Samsung,Twin Cooling Plus RT5000K,Geladeira/Refrigerador Samsung Frost Free Inox  - Duplex 384L Twin Cooling Plus RT5000K,Geladeira/Refrigerador,,213146700
Brastemp,BRC12XK,Frigobar Brastemp 117L Cinza Escuro - BRC12XK,Frigobar,,220277800
